id,sabor,tamano,imagen_variante_url
756,-,600 ml,https://suplementosmx.com/cdn/shop/files/images_1_grande.jpg?v=1723159063
790,CHOCOLATE SHAKE,4.6 lb,https://http2.mlstatic.com/D_NQ_NP_907130-MLA100012680209_122025-O.webp
833,MUCH PUNCH,30 sv,https://sdmsuplementos.com/cdn/shop/products/amino_kem_evogen_aminoacidos_eaa_sdmsuplementos_mexico_suplementos_gym.png?v=1681593536
901,BEACH BLAST,30 sv,https://suplementosmx.com/cdn/shop/files/71dIDbXA5rS_700x700.jpg?v=1724171912
997,VAINILLA ICE CREAM,2 lb,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/opn/opn02865/g/57.jpg
1031,BLUEBERRY LEMONADE,30 sv,https://m.media-amazon.com/images/I/81QNFkDX9kL.jpg
1055,Tropical SUNRISE,65 sv,https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/opn/opn06906/l/8.jpg
1275,WAtermelon,30 sv,https://m.media-amazon.com/images/I/71jYB0vgo3L.jpg
